FAPK	Prieska Airport[1]	Prieska, South Africa
FAPH	Hendrik Van Eck Airport	Phalaborwa, South Africa
FAPG	Plettenberg Bay Airport[1]	Plettenberg Bay, South Africa
FAPE	Port Elizabeth Airport	Port Elizabeth, South Africa
FADQ	Zulu Inyala Airport[1]	Phinda, South Africa
EYPP	Panevėžys Air Base[1] (Pajuostis Airport)	Panevėžys, Lithuania
EYPA	Palanga International Airport	Palanga, Lithuania
ESUP	Pajala Airport	Pajala, Sweden
EPPO	Poznań–Ławica Airport	Poznań, Poland
EGPT	Perth Airport (Scone Airport)	Perth, Scotland, United Kingdom
EGPK	Glasgow Prestwick Airport	Glasgow, Scotland, United Kingdom
EGHD	Plymouth City Airport	Plymouth, England, United Kingdom
EGEP	Papa Westray Airport	Papa Westray, Scotland, United Kingdom
EFPO	Pori Airport	Pori, Finland
EDXO	Sankt Peter-Ording Airport[1]	Sankt Peter-Ording, Schleswig-Holstein, Germany
EDLP	Paderborn Lippstadt Airport	Paderborn / Lippstadt, North Rhine-Westphalia, Germany
EDCP	Peenemünde Airfield[1]	Peenemünde, Mecklenburg-Vorpommern, Germany
DNPO	Port Harcourt International Airport	Port Harcourt, Nigeria
DFCP	Pô Airport	Pô, Burkina Faso
DBBP	Parakou Airport	Parakou, Benin
CZMN	Pikwitonei Airport[1]	Pikwitonei, Manitoba, Canada
BKPR	Pristina International Airport Adem Jashari	Pristina, Kosovo
BIPA	Patreksfjörður Airport	Patreksfjörður, Iceland
AYPY	Jacksons International Airport	Port Moresby, Papua New Guinea
AYGR	Girua Airport[1]	Popondetta, Papua New Guinea
AGGP	Parasi Airport[1]	Parasi, Solomon Islands
